,image_id,category,width(bbox),height(bbox),area,perimeter,solidity,circularity,eccentricity,majorAxis,minorAxis,angle,center_x,center_y,hu1,hu2,hu3,hu4,hu5,hu6,hu7,confidence,unit
0,MHR.7198.jpg,autozooid,0.05659104355855764,0.06212683084248734,0.002516048006669765,0.195829894344912,0.9772322253413677,0.824462312417498,0.805668820818499,0.06404604822976491,0.051599904155359415,28.967660903930664,1770,969,0.16533847634879753,0.0014415794908035446,8.013032975209734e-05,1.2505488889244503e-06,2.5196516533950633e-12,7.1039013141258e-09,1.2262225126831718e-11,0.9999343,mm
1,MHR.7198.jpg,autozooid,0.0543835999236471,0.06593930930141269,0.002167546178457729,0.19048710472001593,0.953210198132052,0.7506665448286706,0.6499581670390473,0.06631295020027488,0.043100643563122286,63.43495178222656,1974,1376,0.1820188406220792,0.0069685469713182,0.00011911335674370094,1.4290590083726552e-05,5.510516937856636e-10,1.0463444110724818e-06,-2.0968306773784246e-10,0.9965082,mm
3,MHR.7198.jpg,orifice,0.012014182744255645,0.011128749534009295,9.140490697012373e-05,0.03671085786753282,0.9779182400262683,0.8522957216304258,0.8318234862795585,0.011801424881259718,0.009816702387795783,65.13629913330078,2069,1531,0.1645863702385103,0.0010219703647067196,0.00015861969913354178,2.7663406183417497e-06,-4.462249266401528e-11,-7.034690885691787e-08,-3.697001548407601e-11,0.9858957,mm
4,MHR.7198.jpg,orifice,0.011220401866681754,0.014275640920051522,0.0001140086890513782,0.04118802175607453,0.9858678343949044,0.8445122410536159,0.7488215460520679,0.013788139652372487,0.010324856051671388,77.00537872314453,1904,873,0.1674856923283571,0.00224094820283685,0.00012262128645059589,2.6432817324684443e-06,-4.2973331710456825e-11,-1.1459191650610618e-07,2.0443028651247826e-11,0.98064154,mm
6,MHR.7198.jpg,avicularium,0.010704602317521954,0.009388277634003586,7.454797919262336e-05,0.03288678093909645,0.9843971631205674,0.866169742035029,0.8902439024390244,0.010157878990055737,0.009042989832610596,90.0,1885,1051,0.16146282743334767,0.00036637963551662116,5.751428120582417e-05,5.986719403222594e-08,8.504611590331897e-14,1.0628690643410724e-09,-7.14698004656666e-14,0.8859719,mm
9,MHR.7198.jpg,ascopore,0.005755089041821517,0.006598461377075548,2.8864707464249598e-05,0.020446301931703204,0.9827586206896551,0.8676558213063297,0.8627450980392157,0.006317705225522471,0.005450569214176249,90.0,1814,907,0.1622327095563482,0.0007362350686607536,3.572870060594536e-05,1.532845665879171e-07,2.670021257175928e-14,1.7926723845726425e-09,3.5772549722333635e-13,0.5708353,mm
