,image_id,category,width(bbox),height(bbox),area,perimeter,solidity,circularity,eccentricity,majorAxis,minorAxis,angle,center_x,center_y,hu1,hu2,hu3,hu4,hu5,hu6,hu7,confidence,unit
0,MHR.5026.jpg,autozooid,379.83465576171875,397.09796142578125,106591.0,1268.7148520946503,0.9690223048496116,0.8321514088755305,0.8968823668447667,392.50732421875,352.03289794921875,9.05788803100586,1051,911,0.16194816814077007,0.00030335588162266175,0.00010023950484789508,7.313378636114611e-07,-1.4401642387957346e-12,1.4976732711277013e-09,-6.093897611857094e-12,0.9996865,pixels
1,MHR.5026.jpg,autozooid,316.45751953125,397.0462646484375,90301.0,1171.4011442661285,0.9899417333106771,0.8269726296354081,0.8621636727856523,372.0985412597656,320.8098449707031,70.40772247314453,1375,983,0.16679611289434232,0.002118762010910955,3.652004695225831e-05,6.565300435709791e-07,-1.1362998502118372e-12,-1.1912410346153748e-08,3.0072342136356563e-12,0.9995511,pixels
3,MHR.5026.jpg,autozooid,325.5634765625,321.53790283203125,79202.5,1083.4772653579712,0.9862772322846167,0.8478307194635528,0.9737290254311197,314.930419921875,306.6568908691406,88.29864501953125,1291,679,0.16169806996093072,0.0003328697194150186,3.046187560288407e-05,2.520355019941681e-07,3.4089515365051315e-13,4.552394982729086e-09,-6.094901088709727e-13,0.9828775,pixels
4,MHR.5026.jpg,autozooid,370.60467529296875,341.4827880859375,78833.0,1141.425530910492,0.9522216249841463,0.7603661123182723,0.8229089573310492,360.555419921875,296.70428466796875,35.37184143066406,977,595,0.17159173806680672,0.0027320637808272608,0.00027974866026396147,4.360762758866288e-06,8.841584797543483e-12,3.293996698409753e-08,1.5205290373014404e-10,0.9821116,pixels
5,MHR.5026.jpg,orifice,77.940185546875,57.13037109375,3009.5,212.7523069381714,0.9830148619957537,0.8355177021508562,0.726027397260274,73.0,53.0,90.0,1343,1120,0.1690061859868464,0.002909320443286088,9.277151318644323e-05,2.6512833865156847e-06,1.3126133769527274e-11,1.9718786243194486e-08,3.945449569917169e-11,0.996837,pixels
6,MHR.5026.jpg,orifice,69.396240234375,70.6932373046875,3312.0,220.79393768310547,0.9842496285289747,0.8537405360717166,0.7236994566688697,75.86550903320312,54.90382766723633,52.12501525878906,896,673,0.16897101132687986,0.0027399499425024994,0.00012251172523593365,3.0923522029388834e-06,-5.364063945797806e-11,-1.485825763860753e-07,2.7303535870821405e-11,0.9928474,pixels
7,MHR.5026.jpg,orifice,66.3887939453125,68.6029052734375,3290.0,218.50966620445251,0.9869506524673767,0.8658934506159566,0.9393939393939394,66.0,62.0,90.0,1202,770,0.16383430748512454,0.001045969369506323,0.00012925187332126726,7.77890743292587e-07,-7.308158639890578e-12,-2.4691276309453413e-08,2.7260412342956654e-12,0.9917734,pixels
8,MHR.5026.jpg,orifice,77.674560546875,70.9300537109375,3755.5,233.86500442028046,0.985566198661593,0.8628735423107898,0.8226803830879957,75.74427795410156,62.313331604003906,51.34019470214844,994,1013,0.1642847057904277,0.0012863374775669238,9.04541380528122e-05,1.3783305734700354e-06,-3.8077581350797475e-12,-2.680980813300878e-08,1.491171613810024e-11,0.983996,pixels
