,image_id,category,width(bbox),height(bbox),area,perimeter,solidity,circularity,eccentricity,majorAxis,minorAxis,angle,center_x,center_y,hu1,hu2,hu3,hu4,hu5,hu6,hu7,confidence,unit
6,MHR.8543.jpg,autozooid,549.1212158203125,343.2374267578125,131842.5,1481.4427736997604,0.973222853768362,0.7549106178583009,0.6069871833167978,530.2337036132812,321.8450622558594,88.24435424804688,1891,1076,0.18340086133255223,0.007361606169043481,7.750705676810184e-05,3.891265870101857e-06,-6.472024801714758e-11,-3.330155418938834e-07,-1.9445055639530345e-11,0.9997727,pixels
16,MHR.8543.jpg,orifice,113.687744140625,168.8062744140625,12780.5,452.2325357198715,0.9857313640044734,0.7852972924209786,0.5812598941892407,168.9573211669922,98.20811462402344,79.69515228271484,2064,1022,0.18509783630965532,0.008713298266730696,7.209194962331691e-05,5.155209732446074e-06,6.15924197781584e-11,1.9467892542161805e-07,-7.799609278288856e-11,0.9701769,pixels
24,MHR.8543.jpg,ascopore,62.6136474609375,67.58685302734375,2831.0,228.16652023792267,0.954484153742414,0.6833542429719726,0.8099172867940545,67.11872863769531,54.360618591308594,56.3099365234375,1969,1029,0.16511641763679907,0.0013882580916611616,8.08847006062246e-05,1.6826916595780643e-06,-1.7258373263336746e-11,-6.123105989389108e-08,9.35523493759535e-12,0.9027353,pixels
