,image_id,category,width(bbox),height(bbox),area,perimeter,solidity,circularity,eccentricity,majorAxis,minorAxis,angle,center_x,center_y,hu1,hu2,hu3,hu4,hu5,hu6,hu7,confidence,unit
0,MHR.7197.jpg,autozooid,0.05290511288220369,0.06530882437017899,0.0024562576531103227,0.19531691365851725,0.9599086321698367,0.8091034979948165,0.8065418964554515,0.062486578392077094,0.050398043439358095,86.96060180664062,868,1440,0.16405979704240642,0.0007748747830159759,7.010184184707617e-05,2.638523327556803e-07,-2.1959909026485248e-13,-5.841526752968846e-09,1.1133144066608355e-12,0.999938,mm
1,MHR.7197.jpg,autozooid,0.05250936822046207,0.058691154552411424,0.0020268215160495176,0.17518879475861882,0.9813951595599062,0.8298750738849168,0.7991842230104906,0.05598249314706537,0.044740325287927554,28.52804946899414,1621,1209,0.16433671157145885,0.0011885965449016476,5.618379827163643e-07,2.801238544680229e-07,1.0774255348025095e-13,-1.4230685740258506e-09,-2.7228357790665456e-14,0.9999099,mm
3,MHR.7197.jpg,orifice,0.012965964365609085,0.008618318581882911,8.661917741626066e-05,0.03614630642983638,0.9843709299296692,0.8330979525553204,0.6698300922974453,0.01235847420330289,0.00827807791625397,87.1375961303711,849,1244,0.17455143511914195,0.004195276027552818,0.00017704055603231383,7.480970449993236e-06,-1.0462213247370219e-10,-1.8206231652026658e-07,-2.5134859485261297e-10,0.9978702,mm
5,MHR.7197.jpg,orifice,0.012398596051373058,0.011518929578080962,9.655169312951275e-05,0.03823685328641175,0.9858792323295366,0.8298612170576322,0.8136363844324566,0.012162157063242755,0.009895573499836498,26.56505012512207,1689,1056,0.16639743766892556,0.0012111953564777785,0.00029145722581016257,5.208994502528093e-06,-8.830711168566683e-11,-1.3571527842812722e-07,-1.8274598981848373e-10,0.9968183,mm
10,MHR.7197.jpg,avicularium,0.013364229021193105,0.0077583367311501806,7.581565647892339e-05,0.03740003177766464,0.9765771085523078,0.6811218641358302,0.5728155339805825,0.012732397151898734,0.007293314873417721,90.0,732,1338,0.18681078934028836,0.009000843270449397,0.00012652320840749454,1.3668465128488131e-05,4.5297697132171175e-10,8.667154693994853e-07,-3.4337482887788936e-10,0.95837605,mm
11,MHR.7197.jpg,avicularium,0.007664900791795948,0.007693450662154185,4.4001044609706724e-05,0.025600209298744042,0.9846127543169773,0.8436956677613121,1.0,0.007416930379746835,0.007416930379746835,90.0,1784,1199,0.16722000449016877,0.0022368385934271127,8.222972402646987e-05,1.6429680186032075e-06,9.311439083595055e-12,1.2091226724167001e-08,-1.6672751487406473e-11,0.94236857,mm
12,MHR.7197.jpg,avicularium,0.007906465590754641,0.008867284919642195,5.145807179134829e-05,0.027186001762983542,0.985657836967657,0.8749287570525,0.9104477611940298,0.008282238924050632,0.007540545886075949,90.0,993,1298,0.16206121426113373,0.0007582851046265593,1.0522386455014162e-05,2.1509626201983948e-07,1.7908109616625296e-13,1.7518861546321658e-09,2.69529054359825e-13,0.92987657,mm
15,MHR.7197.jpg,ovicell,0.0260374968564963,0.02445772478852091,0.0004235606719965813,0.08082660452957866,0.9697038604838286,0.8147358436101614,0.8239130968507451,0.025429965197285517,0.020952081378502182,26.56505012512207,1753,945,0.16510334866146556,0.0010450185583854225,0.00018465780803840254,3.5195244366761322e-06,-7.614601547087104e-11,-9.027817751073801e-08,-4.745760817333129e-11,0.9850743,mm
16,MHR.7197.jpg,ovicell,0.023871901669079744,0.02845488771607604,0.0004455955760865959,0.08796844153983306,0.9441944048698355,0.7235973012770375,0.7965824308305424,0.026170696261562876,0.020847116844563543,88.9583740234375,855,1099,0.16906584963820648,0.001528319775240461,0.00010743448898358599,4.20716450532611e-06,8.645191865314089e-11,7.785111751474334e-08,2.2945043494204786e-11,0.9540128,mm
17,MHR.7197.jpg,ascopore,0.006839942328537567,0.005761656580092031,2.819306383223091e-05,0.020258387261883743,0.984,0.8632615562572256,0.8461538461538461,0.006428006329113924,0.005439082278481012,90.0,1638,1138,0.165364783119211,0.0018279443134356552,1.8940546934899563e-05,2.633034427111754e-07,-5.465157304082794e-13,-1.0429812538422393e-08,2.1695738838094132e-13,0.947218,mm
18,MHR.7197.jpg,ascopore,0.006347917303254332,0.005154111717320695,2.5068141580907755e-05,0.01888983159420328,0.987063778580024,0.8828274546198966,0.8163265306122449,0.006057159810126582,0.004944620253164556,90.0,865,1342,0.16304778253735785,0.0009820949560878063,4.9266003485243045e-05,4.501777475686031e-07,-2.7062416056711205e-13,4.532575154299365e-10,2.1027241990170042e-12,0.913586,mm
