,image_id,category,width(bbox),height(bbox),area,perimeter,solidity,circularity,eccentricity,majorAxis,minorAxis,angle,center_x,center_y,hu1,hu2,hu3,hu4,hu5,hu6,hu7,confidence,unit
2,MHR.6752.jpg,autozooid,0.05363180667539186,0.04728925001772144,0.0019262586146511914,0.17083501413794636,0.9831267889035338,0.829412702107992,0.8888390668190581,0.05218678260151344,0.046385651147818265,1.5481576919555664,2070,328,0.16408983300657332,0.0010345398217939774,9.699189949196506e-05,5.130981051508916e-07,1.7170809744890733e-13,1.2736407050001033e-09,-3.6155897498340374e-12,0.99985516,mm
7,MHR.6752.jpg,orifice,0.010875357857233361,0.011532408527181117,7.971989919390171e-05,0.034413557467227684,0.9855483139699631,0.8458969625219716,0.7042690908614614,0.011808591175682937,0.008316425771652897,50.01311492919922,2182,243,0.17236176346066695,0.003475890547876421,0.00025199844198070054,7.832841947555912e-06,-3.121346413523456e-10,-4.1577554607401096e-07,-1.53867660008321e-10,0.99717987,mm
16,MHR.6752.jpg,ascopore,0.006074422522436214,0.005732801141618173,2.2630855032809744e-05,0.018238120983484426,0.9804700430321086,0.8549695394022636,0.7361110590779664,0.0062934743075431145,0.0046326960378055325,45.0,2114,299,0.16697951773229358,0.002331431064871141,4.6660740693068813e-05,1.2712549357174065e-06,9.060271099774443e-12,5.583786607586021e-08,3.711357123704003e-12,0.93766606,mm
